,ticker
0,KRW-BTC
1,KRW-ETH
2,KRW-NEO
3,KRW-MTL
4,KRW-XRP
5,KRW-ETC
6,KRW-SNT
7,KRW-WAVES
8,KRW-XEM
9,KRW-QTUM
10,KRW-LSK
11,KRW-STEEM
12,KRW-XLM
13,KRW-ARDR
14,KRW-ARK
15,KRW-STORJ
16,KRW-GRS
17,KRW-ADA
18,KRW-POWR
19,KRW-ICX
20,KRW-EOS
21,KRW-TRX
22,KRW-SC
23,KRW-ONT
24,KRW-ZIL
25,KRW-POLYX
26,KRW-ZRX
27,KRW-LOOM
28,KRW-BCH
29,KRW-BAT
30,KRW-IOST
31,KRW-CVC
32,KRW-IQ
33,KRW-IOTA
34,KRW-HIFI
35,KRW-ONG
36,KRW-GAS
37,KRW-BOUNTY
38,KRW-ELF
39,KRW-KNC
40,KRW-BSV
41,KRW-THETA
42,KRW-QKC
43,KRW-BTT
44,KRW-MOC
45,KRW-TFUEL
46,KRW-MANA
47,KRW-ANKR
48,KRW-AERGO
49,KRW-ATOM
50,KRW-TT
51,KRW-GAME2
52,KRW-MBL
53,KRW-WAXP
54,KRW-HBAR
55,KRW-MED
56,KRW-MLK
57,KRW-STPT
58,KRW-ORBS
59,KRW-VET
60,KRW-CHZ
61,KRW-STMX
62,KRW-DKA
63,KRW-HIVE
64,KRW-KAVA
65,KRW-AHT
66,KRW-LINK
67,KRW-XTZ
68,KRW-BORA
69,KRW-JST
70,KRW-CRO
71,KRW-TOKAMAK
72,KRW-SXP
73,KRW-HUNT
74,KRW-DOT
75,KRW-MVL
76,KRW-STRAX
77,KRW-AQT
78,KRW-GLM
79,KRW-META
80,KRW-FCT2
81,KRW-CBK
82,KRW-SAND
83,KRW-HPO
84,KRW-DOGE
85,KRW-STRIKE
86,KRW-PUNDIX
87,KRW-FLOW
88,KRW-AXS
89,KRW-STX
90,KRW-XEC
91,KRW-SOL
92,KRW-POL
93,KRW-AAVE
94,KRW-1INCH
95,KRW-ALGO
96,KRW-NEAR
97,KRW-AVAX
98,KRW-T
99,KRW-CELO
100,KRW-GMT
101,KRW-APT
102,KRW-SHIB
103,KRW-MASK
104,KRW-ARB
105,KRW-EGLD
106,KRW-SUI
107,KRW-GRT
108,KRW-BLUR
109,KRW-IMX
110,KRW-SEI
111,KRW-MINA
112,KRW-CTC
113,KRW-ASTR
114,KRW-ID
115,KRW-PYTH
116,KRW-MNT
117,KRW-AKT
118,KRW-ZETA
119,KRW-AUCTION
120,KRW-STG
121,KRW-BEAM
122,KRW-TAIKO
123,KRW-USDT
124,KRW-ONDO
125,KRW-ZRO
126,KRW-BLAST
127,KRW-JUP
128,KRW-ENS
129,KRW-G
130,KRW-PENDLE
131,KRW-ATH
132,KRW-USDC
133,KRW-UXLINK
134,KRW-BIGTIME
135,KRW-CKB
136,KRW-W
137,KRW-CARV
138,KRW-INJ
139,KRW-MEW
140,KRW-UNI
141,KRW-SAFE
142,KRW-DRIFT
143,KRW-AGLD
144,KRW-PEPE
145,KRW-BONK
146,KRW-RENDER
147,KRW-MOVE
148,KRW-ME
149,KRW-MOCA
150,KRW-VANA
151,KRW-SONIC
152,KRW-VTHO
153,KRW-ANIME
154,KRW-VIRTUAL
155,KRW-BERA
156,KRW-LAYER
157,KRW-TRUMP
158,KRW-JTO
159,KRW-COW
